Releve_number,Country_code,Biblioreference,No_table_in_publ,No_releve_in_table,Cover_abundance_scale,Author,Date_yearmonthday,Syntaxon_code,Releve_area_m2,Altitude_m,Aspect_degrees,Slope_degrees,Cover_tree_layer_perc,Cover_shrub_layer_perc,Cover_herb_layer_perc,Cover_moss_layer_perc,Cover_lichen_layer_perc,Height_high_herb_layer_cm,Mosses_identified_yn,Lichens_identified_yn,Remarks,Coordinate_system,Resurvey,For_eva,Rs_project,Rs_site,Rs_plot,Rs_observ,Plot_shape,Manipulate,Maniptyp,Loc_method,Data_owner,Eva_access,Longitude,Latitude,Precision_m,Locality,Field_nr,Habitat,S_ph_h2o,Best_fit,Validation,Protection,Plot_type,number_species,CR_NT_number,CR_NT_perc_number,CR_NT_perc_cover,alien_perc_cover,Syntax_new,alien_number,TD_number,TD_perc_number,TD_perc_cover,TF_number,TF_perc_number,TF_perc_cover,TH_number,TH_perc_number,TH_perc_cover,XA_XC_number,XA_XC_perc_number,XA_XC_perc_cover,light,temperature,moisture,reaction,nutrients,salinity,Time
904030,CZ,101534,NA,NA,2,M. Harásek,20190611,NA,9,274,190,15,0,0,50,30,20,70,N,N,Opakování snímku M. Chytrý: 401470; těsně pod sochou sv. Michala,1,Y,Y,Acidic dry grasslands SW Moravia,AAa,AAa-New,AAa-New-2019,square,N,NA,6,Martin Harásek & Milan Chytrý,1,162133.2,485901.3,5,"Bohutice, PP u Michálka, 850 m J zámku v obci",19/58,Slunci silně exponovaný acidofilní trávník na mělké půdě s výchozy hornin,4.69,Y,Y,Y,resampling,18,5,27.78,15.1,0,THA04,0,0,0,0,5,27.78,12.3,15,83.33,33.5,4,22.22,8.7,8.11,6.33,2.56,6.44,2.44,0,new
904032,CZ,101534,NA,NA,2,M. Harásek,20190611,NA,25,275,10,3,0,0,85,5,0,90,N,N,Opakování snímku M. Chytrý: 401515,1,Y,Y,Acidic dry grasslands SW Moravia,AAb,AAb-NewSimil,AAb-NewSimil-2019,square,N,NA,6,Martin Harásek & Milan Chytrý,1,162133.8,485902.3,4,"Bohutice, PP u Michálka, 850 m J zámku v obci",19/60,"Acidofilní trávník s dominantou trav, relativně hlubší půda",5.37,Y,N,Y,resampling,22,4,18.18,14.3,2,THG02,1,1,4.55,2,7,31.82,48.4,15,68.18,57.5,3,13.64,6.8,7.86,6.29,2.95,6.62,3.05,0.24,new
904086,CZ,101534,NA,NA,2,M. Harásek,20190707,NA,25,255,185,10,0,0,60,40,50,100,N,N,Opakování snímku M. Chytrý: 401472,1,Y,Y,Acidic dry grasslands SW Moravia,ABa,ABa-NewSimil,ABa-NewSimil-2019,square,N,NA,6,Martin Harásek & Milan Chytrý,1,161949,485726.9,6,"PP Štěpánovský lom, 1,7 km SV zámku v Miroslavi",19/116,"Sekundární skalní step, ohrazená, pastva koz",4.4,Y,N,Y,resampling,14,0,0,0,2,THA04,1,1,7.14,2,8,57.14,46.7,9,64.29,47.3,4,28.57,8.7,7.86,5.86,3.14,6.07,3.21,0.21,new
904033,CZ,101534,NA,NA,2,M. Harásek,20190611,NA,49,295,250,5,0,0,85,60,5,90,N,N,Opakování snímku M. Chytrý: 401521,1,Y,Y,Acidic dry grasslands SW Moravia,ACa,ACa-NewSimil,ACa-NewSimil-2019,square,N,NA,6,Martin Harásek & Milan Chytrý,1,161816.2,485612.8,5,"Miroslav, NPP Miroslavské kopce, 1,4 km JJZ zámku v obci",19/61,Stepní trávník se známkami pastvy (trus) na konvexním exponovaném svahu,6.12,Y,N,Y,resampling,31,3,9.68,30.6,11.5,THG02,5,3,9.68,6.8,10,32.26,40.4,20,64.52,60.5,8,25.81,30.3,7.81,6.16,3.26,6.74,3.45,0.19,new
904087,CZ,101534,NA,NA,2,M. Harásek,20190707,NA,49,245,185,10,0,0,85,55,5,110,N,N,Opakování snímku M. Chytrý: 401517,1,Y,Y,Acidic dry grasslands SW Moravia,ADa,ADa-NewSimil,ADa-NewSimil-2019,square,N,NA,6,Martin Harásek & Milan Chytrý,1,161547.1,485710.6,5,"Hostěradice, PP U kapličky, ca 15 m JJV od kapličky na kopci",19/117,"Zapojený acidofilní trávník, managovaný (periodické kosení a pastva), kamenitá půda",5.09,Y,N,Y,resampling,33,8,24.24,17.5,4.9,THG02,2,2,6.06,4,11,33.33,53.9,21,63.64,62.7,6,18.18,12.3,7.97,6.27,3,6.64,3.06,0.21,new
904089,CZ,101534,NA,NA,2,M. Harásek,20190707,NA,49,240,220,15,0,0,90,70,0,90,N,N,Opakování snímku M. Chytrý: 401518,1,Y,Y,Acidic dry grasslands SW Moravia,ADb,ADb-New,ADb-New-2019,square,N,NA,6,Martin Harásek & Milan Chytrý,1,161545.5,485710.1,4,"Hostěradice, PP U kapličky, ca 40 m JZ od kapličky na kopci",19/119,"Zapojený acidofilní trávník, managovaný (periodické kosení a pastva)",6.09,Y,Y,Y,resampling,25,7,28,40.5,5.9,THG02,3,0,0,0,8,32,42.2,16,64,59.3,4,16,22.8,7.92,6.44,2.96,7.08,3.08,0.16,new
904153,CZ,101534,NA,NA,2,M. Harásek,20180725,NA,49,305,355,7,0,0,80,45,5,100,N,N,Opakování snímku M. Chytrý: 401626,1,Y,Y,Acidic dry grasslands SW Moravia,AEa,AEa-New,AEa-New-2018,square,N,NA,6,Martin Harásek & Milan Chytrý,1,160236,485727.6,5,"Vevčice, cca 500 m J kostela Nanebevzetí Panny Marie v obci",18/13,"Pravděpodobně dřívejší pastvina, současně značně zarůstající, relativně hlubší půda",0,Y,Y,N,resampling,16,2,12.5,9.8,63,THG01,1,2,12.5,63.7,6,37.5,31.1,12,75,39.6,2,12.5,4.9,7.69,5.88,3.31,6.13,3.13,0.25,new
904059,CZ,101534,NA,NA,2,M. Harásek,20190626,NA,36,300,145,8,0,0,95,20,0,150,N,N,Opakování snímku M. Chytrý: 401523; velmi pravděpodobně bez managmentu,1,Y,Y,Acidic dry grasslands SW Moravia,AFa,AFa-NewSimil,AFa-NewSimil-2019,square,N,NA,6,Martin Harásek & Milan Chytrý,1,160557.6,485620.4,6,"Němčičky, asi 900 m VJV od centra obce (OÚ, kaple)",19/87,"Zarůstající trávník - A. elatius, Rosa sp. a ruderálními druhy",5.07,Y,N,N,resampling,19,1,5.26,2,63,THG02,1,3,15.79,64.5,4,21.05,24.4,10,52.63,33.7,3,15.79,5.9,7.47,5.77,3.71,6.47,4.06,0.41,new
904042,CZ,101534,NA,NA,2,M. Harásek,20190612,NA,49,338,270,10,0,0,95,65,5,130,N,N,Opakování snímku M. Chytrý: 401413,1,Y,Y,Acidic dry grasslands SW Moravia,AGa,AGa-NewSimil,AGa-NewSimil-2019,square,N,NA,6,Martin Harásek & Milan Chytrý,1,160020.5,485509.2,5,"Plenkovice, SV část obce, 200 m SV OÚ v obci",19/70,Zbytky původního zřejmě rozšířenějšího acidofilního trávníku,4.75,Y,N,N,resampling,26,0,0,0,9.8,TEE01,2,2,7.69,9.8,8,30.77,20.9,11,42.31,27.1,7,26.92,14.1,7.44,5.6,3.68,5.56,3.56,0.32,new
904004,CZ,101534,NA,NA,2,M. Harásek,20180814,NA,36,291,260,10,0,0,50,15,15,0,N,N,Opakování snímku M. Chytrý: 401634,1,Y,Y,Acidic dry grasslands SW Moravia,AHa,AHa-New,AHa-New-2018,square,N,NA,6,Martin Harásek & Milan Chytrý,1,160437.4,485359,3,"Únavov, 900 m V Zámku Únavov",18/18,"Suchý trávník, exponovaný, obklopen poli",5.07,Y,Y,N,resampling,21,2,9.52,4,2,THG01,1,2,9.52,4.9,7,33.33,29.6,16,76.19,51.9,5,23.81,20.3,7.81,5.86,3.24,6.43,3.05,0.24,new
