Releve_number,Achillea millefolium agg._6,Achillea setacea_6,Acinos arvensis_6,Aconitum anthora_6,Agrostis capillaris_6,Agrostis vinealis_6,Ajuga genevensis_6,Allium flavum_6,Allium oleraceum_6,Allium senescens ssp. montanum_6,Allium sphaerocephalon_6,Alyssum alyssoides_6,Antennaria dioica_6,Anthericum ramosum_6,Anthoxanthum odoratum_6,Anthyllis vulneraria_6,Arenaria serpyllifolia agg._6,Armeria elongata_6,Arrhenatherum elatius_6,Artemisia absinthium_6,Artemisia campestris_6,Asperula cynanchica_6,Asplenium septentrionale_6,Avenella flexuosa_6,Berteroa incana ssp. incana_6,Betonica officinalis_6,Betula pendula_7,Biscutella laevigata_6,Bothriochloa ischaemum_6,Briza media_6,Bromus erectus_6,Bromus hordeaceus_6,Bromus inermis_6,Bromus japonicus_6,Bromus tectorum_6,Bupleurum falcatum_6,Calamagrostis epigejos_6,Calluna vulgaris_6,Campanula moravica_6,Capsella bursa-pastoris_6,Carduus acanthoides_6,Carduus crispus_6,Carex caryophyllea_6,Carex humilis_6,Carex montana_6,Carex muricata agg._6,Carex supina_6,Carlina acaulis_6,Centaurea jacea_6,Centaurea scabiosa_6,Centaurea stoebe_6,Centaurea triumfetti_6,Centaurium erythraea_6,Cerastium arvense_6,Cerastium glomeratum_6,Cerastium glutinosum_6,Cerastium holosteoides_6,Chamaecytisus austriacus_6,Chamaecytisus ratisbonensis_6,Chamaecytisus supinus_6,Chenopodium album agg._6,Chondrilla juncea_6,Cichorium intybus_6,Convolvulus arvensis_6,Conyza canadensis_6,Cornus sanguinea_7,Corynephorus canescens_6,Cotoneaster integerrimus_6,Crataegus monogyna_7,Cuscuta epithymum_6,Cytisus nigricans_6,Cytisus procumbens_6,Cytisus scoparius_6,Dactylis glomerata_6,Danthonia decumbens_6,Daucus carota_6,Dianthus carthusianorum agg._6,Dianthus deltoides_6,Dorycnium germanicum_6,Echium vulgare_6,Elymus hispidus_6,Elymus repens_6,Erodium cicutarium_6,Eryngium campestre_6,Euphorbia cyparissias_6,Euphorbia esula_6,Euphrasia stricta ssp. stricta_6,Falcaria vulgaris_6,Festuca brevipila_6,Festuca ovina s. lat._6,Festuca pallens s. lat._6,Festuca rupicola_6,Festuca valesiaca_6,Fragaria vesca_6,Fragaria viridis_6,Galatella linosyris_6,Galium album_6,Galium pumilum agg._6,Galium verum_6,Genista germanica_6,Genista pilosa_6,Genista tinctoria_6,Helianthemum grandiflorum ssp. obscurum_6,Helichrysum arenarium_6,Helictochloa pratensis_6,Hieracium sabaudum_6,Hieracium umbellatum_6,Hylotelephium maximum_6,Hypericum perforatum_6,Hypochaeris radicata_6,Inula oculus-christi_6,Iris arenaria_6,Iris pumila_6,Jasione montana_6,Jovibarba globifera ssp. globifera_6,Knautia arvensis agg._6,Koeleria macrantha_6,Koeleria pyramidata_6,Lathyrus tuberosus_6,Leontodon hispidus_6,Lepidium campestre_6,Linaria genistifolia_6,Linaria vulgaris_6,Linum catharticum_6,Lotus corniculatus_6,Lupinus polyphyllus_6,Luzula campestris agg._6,Medicago falcata_6,Medicago minima_6,Melampyrum arvense_6,Melampyrum cristatum_6,Melica ciliata_6,Melica transsilvanica_6,Melilotus officinalis_6,Minuartia setacea_6,Muscari comosum_6,Myosotis ramosissima_6,Nardus stricta_6,Odontites luteus_6,Ononis spinosa_6,Orchis morio_6,Orobanche species_6,Petrorhagia prolifera_6,Peucedanum cervaria_6,Peucedanum oreoselinum_6,Phleum phleoides_6,Picris hieracioides_6,Pilosella bauhini_6,Pilosella echioides_6,Pilosella officinarum_6,Pimpinella saxifraga_6,Pinus sylvestris_7,Plantago lanceolata_6,Plantago major_6,Plantago media_6,Poa bulbosa_6,Poa compressa_6,Poa pratensis agg._6,Potentilla argentea_6,Potentilla heptaphylla_6,Potentilla incana_6,Potentilla reptans_6,Potentilla verna_6,Prunella grandiflora_6,Prunella laciniata_6,Prunus fruticosa_7,Prunus species_7,Pulsatilla grandis_6,Pyrus pyraster_7,Quercus petraea agg._7,Ranunculus bulbosus_6,Rhamnus cathartica_7,Rhinanthus minor_6,Robinia pseudoacacia_7,Rosa species_7,Rubus species_6,Rumex acetosa_6,Rumex acetosella_6,Salvia nemorosa_6,Salvia pratensis_6,Sanguisorba minor_6,Scabiosa canescens_6,Scabiosa ochroleuca_6,Scleranthus perennis_6,Scleranthus polycarpos_6,Scorzoneroides autumnalis_6,Securigera varia_6,Sedum acre_6,Sedum reflexum_6,Sedum sexangulare_6,Sedum spurium_6,Senecio jacobaea_6,Senecio vernalis_6,Seseli annuum_6,Seseli hippomarathrum_6,Seseli osseum_6,Setaria pumila_6,Silene latifolia ssp. alba_6,Silene nutans_6,Silene otites_6,Silene vulgaris_6,Sorbus aucuparia_7,Stachys recta_6,Stipa capillata_6,Stipa dasyphylla_6,Tanacetum corymbosum_6,Taraxacum sect. Erythrosperma_6,Taraxacum sect. Taraxacum_6,Teucrium chamaedrys_6,Thesium linophyllon_6,Thymus pannonicus agg._6,Thymus praecox_6,Thymus pulegioides_6,Tragopogon dubius_6,Tragopogon orientalis_6,Trifolium alpestre_6,Trifolium arvense_6,Trifolium campestre_6,Trifolium dubium_6,Trifolium montanum_6,Trisetum flavescens_6,Turritis glabra_6,Verbascum chaixii ssp. austriacum_6,Verbascum phlomoides_6,Verbascum phoeniceum_6,Verbascum thapsus_6,Veronica arvensis_6,Veronica austriaca_6,Veronica chamaedrys agg._6,Veronica dillenii_6,Veronica prostrata_6,Veronica spicata_6,Veronica verna_6,Vicia angustifolia_6,Vicia cracca agg._6,Vicia hirsuta_6,Vicia tetrasperma_6,Vincetoxicum hirundinaria_6,Viola arvensis_6,Viola canina_6,Viscaria vulgaris_6
904030,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,18,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
904032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,38,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0
904086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,18,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
904033,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,2,0,0,0,0,0,0,8,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,18,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0
904087,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,3,0,2,0,0,0,0,2,0,38,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,2,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
904089,3,0,2,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,18,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
904153,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
904059,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,18,0,2,0,0,0,2,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
904042,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,38,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0
904004,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,18,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
