RELEVE_NR,ForestType,ForestTypeName,Biomass,pH_KCl,Canopy_E3,Radiation,Heat,TWI,Longitude,Latitude,deg_lon,deg_lat
1,2,oak hornbeam forest,12.8,5.28,80,0.8812606,0.857485817,3.353962045,164038.6,491312.1,16.6773889,49.2200278
2,1,oak forest,9.9,3.24,80,0.932882515,0.813841492,2.419176751,163420,492015.3,16.5722222,49.3375833
3,1,oak forest,15.2,4.01,80,0.916133949,0.850296744,2.15958042,163345.8,492128.9,16.5627222,49.3580278
4,1,oak forest,16,3.765,75,0.930467546,0.947723681,1.651169536,162913.4,492126.4,16.4870556,49.3573333
5,1,oak forest,20.7,3.4975,70,0.869095695,0.869095695,4.741779788,162137.8,490210.2,16.3605,49.0361667
6,1,oak forest,46.4,3.8,65,0.917782632,0.88336322,2.42907987,162128.3,490203.1,16.3578611,49.0341944
7,1,oak forest,49.2,3.475,65,0.829436946,0.803385334,2.946460695,162117.2,490158.5,16.3547778,49.0329167
8,2,oak hornbeam forest,48.7,3.675,85,0.869095695,0.869095695,5.147244896,162348.7,490253.3,16.3968611,49.0481389
9,2,oak hornbeam forest,13.8,4.235,80,0.614120674,0.422568157,2.886564905,161734.7,490729.5,16.2929722,49.1248611
10,1,oak forest,79.1,4.005,70,0.905293372,0.930247738,2.15958042,161622.4,490742.4,16.2728889,49.1284444
11,1,oak forest,7.4,3.8325,85,0.751284011,0.580712135,1.283785311,161507,490813.6,16.2519444,49.1371111
14,2,oak hornbeam forest,14.2,4.0725,60,0.261086924,0.443362091,1.722723246,164020.3,491423.3,16.6723056,49.2398056
16,2,oak hornbeam forest,26.2,3.605,75,0.834268983,0.635066831,1.125481228,162206.9,492428.6,16.3685833,49.4079444
18,2,oak hornbeam forest,72.2,4.615,70,0.797143994,0.92369313,1.50288602,162349.6,492239.2,16.3971111,49.3775556
28,1,oak forest,29.7,3.555,70,0.869095695,0.869095695,4.741779788,155710.7,490123,15.9529722,49.0230556
29,2,oak hornbeam forest,37.9,3.61,85,0.869095695,0.869095695,4.741779788,155708,490115.2,15.9522222,49.0208889
