year,country,lifeExp,pop,gdpPercap
1952,Algeria,43.077,9279525,2449.008185
1952,Angola,30.015,4232095,3520.610273
1952,Benin,38.223,1738315,1062.7522
1952,Botswana,47.622,442308,851.2411407
1952,Burkina Faso,31.975,4469979,543.2552413
1952,Burundi,39.031,2445618,339.2964587
1952,Cameroon,38.523,5009067,1172.667655
1952,Central African Republic,35.463,1291695,1071.310713
1952,Chad,38.092,2682462,1178.665927
1952,Comoros,40.715,153936,1102.990936
1952,"Congo, Dem. Rep.",39.143,14100005,780.5423257
1952,"Congo, Rep.",42.111,854885,2125.621418
1952,Cote d'Ivoire,40.477,2977019,1388.594732
1952,Djibouti,34.812,63149,2669.529475
1952,Egypt,41.893,22223309,1418.822445
1952,Equatorial Guinea,34.482,216964,375.6431231
1952,Eritrea,35.928,1438760,328.9405571
1952,Ethiopia,34.078,20860941,362.1462796
1952,Gabon,37.003,420702,4293.476475
1952,Gambia,30,284320,485.2306591
1952,Ghana,43.149,5581001,911.2989371
1952,Guinea,33.609,2664249,510.1964923
1952,Guinea-Bissau,32.5,580653,299.850319
1952,Kenya,42.27,6464046,853.540919
1952,Lesotho,42.138,748747,298.8462121
1952,Liberia,38.48,863308,575.5729961
1952,Libya,42.723,1019729,2387.54806
1952,Madagascar,36.681,4762912,1443.011715
1952,Malawi,36.256,2917802,369.1650802
1952,Mali,33.685,3838168,452.3369807
1952,Mauritania,40.543,1022556,743.1159097
1952,Mauritius,50.986,516556,1967.955707
1952,Morocco,42.873,9939217,1688.20357
1952,Mozambique,31.286,6446316,468.5260381
1952,Namibia,41.725,485831,2423.780443
1952,Niger,37.444,3379468,761.879376
1952,Nigeria,36.324,33119096,1077.281856
1952,Reunion,52.724,257700,2718.885295
1952,Rwanda,40,2534927,493.3238752
1952,Sao Tome and Principe,46.471,60011,879.5835855
1952,Senegal,37.278,2755589,1450.356983
1952,Sierra Leone,30.331,2143249,879.7877358
1952,Somalia,32.978,2526994,1135.749842
1952,South Africa,45.009,14264935,4725.295531
1952,Sudan,38.635,8504667,1615.991129
1952,Swaziland,41.407,290243,1148.376626
1952,Tanzania,41.215,8322925,716.6500721
1952,Togo,38.596,1219113,859.8086567
1952,Tunisia,44.6,3647735,1468.475631
1952,Uganda,39.978,5824797,734.753484
1952,Zambia,42.038,2672000,1147.388831
1952,Zimbabwe,48.451,3080907,406.8841148
1957,Algeria,45.685,10270856,3013.976023
1957,Angola,31.999,4561361,3827.940465
1957,Benin,40.358,1925173,959.6010805
1957,Botswana,49.618,474639,918.2325349
1957,Burkina Faso,34.906,4713416,617.1834648
1957,Burundi,40.533,2667518,379.5646281
1957,Cameroon,40.428,5359923,1313.048099
1957,Central African Republic,37.464,1392284,1190.844328
1957,Chad,39.881,2894855,1308.495577
1957,Comoros,42.46,170928,1211.148548
