year,country,lifeExp,pop,gdpPercap
1952,Argentina,62.485,17876956,5911.315053
1952,Bolivia,40.414,2883315,2677.326347
1952,Brazil,50.917,56602560,2108.944355
1952,Canada,68.75,14785584,11367.16112
1952,Chile,54.745,6377619,3939.978789
1952,Colombia,50.643,12350771,2144.115096
1952,Costa Rica,57.206,926317,2627.009471
1952,Cuba,59.421,6007797,5586.53878
1952,Dominican Republic,45.928,2491346,1397.717137
1952,Ecuador,48.357,3548753,3522.110717
1952,El Salvador,45.262,2042865,3048.3029
1952,Guatemala,42.023,3146381,2428.237769
1952,Haiti,37.579,3201488,1840.366939
1952,Honduras,41.912,1517453,2194.926204
1952,Jamaica,58.53,1426095,2898.530881
1952,Mexico,50.789,30144317,3478.125529
1952,Nicaragua,42.314,1165790,3112.363948
1952,Panama,55.191,940080,2480.380334
1952,Paraguay,62.649,1555876,1952.308701
1952,Peru,43.902,8025700,3758.523437
1952,Puerto Rico,64.28,2227000,3081.959785
1952,Trinidad and Tobago,59.1,662850,3023.271928
1952,United States,68.44,157553000,13990.48208
1952,Uruguay,66.071,2252965,5716.766744
1952,Venezuela,55.088,5439568,7689.799761
1957,Argentina,64.399,19610538,6856.856212
1957,Bolivia,41.89,3211738,2127.686326
1957,Brazil,53.285,65551171,2487.365989
1957,Canada,69.96,17010154,12489.95006
1957,Chile,56.074,7048426,4315.622723
1957,Colombia,55.118,14485993,2323.805581
1957,Costa Rica,60.026,1112300,2990.010802
1957,Cuba,62.325,6640752,6092.174359
1957,Dominican Republic,49.828,2923186,1544.402995
1957,Ecuador,51.356,4058385,3780.546651
1957,El Salvador,48.57,2355805,3421.523218
1957,Guatemala,44.142,3640876,2617.155967
1957,Haiti,40.696,3507701,1726.887882
1957,Honduras,44.665,1770390,2220.487682
1957,Jamaica,62.61,1535090,4756.525781
1957,Mexico,55.19,35015548,4131.546641
1957,Nicaragua,45.432,1358828,3457.415947
1957,Panama,59.201,1063506,2961.800905
1957,Paraguay,63.196,1770902,2046.154706
1957,Peru,46.263,9146100,4245.256698
1957,Puerto Rico,68.54,2260000,3907.156189
1957,Trinidad and Tobago,61.8,764900,4100.3934
1957,United States,69.49,171984000,14847.12712
1957,Uruguay,67.044,2424959,6150.772969
1957,Venezuela,57.907,6702668,9802.466526
1962,Argentina,65.142,21283783,7133.166023
1962,Bolivia,43.428,3593918,2180.972546
1962,Brazil,55.665,76039390,3336.585802
1962,Canada,71.3,18985849,13462.48555
1962,Chile,57.924,7961258,4519.094331
1962,Colombia,57.863,17009885,2492.351109
1962,Costa Rica,62.842,1345187,3460.937025
1962,Cuba,65.246,7254373,5180.75591
1962,Dominican Republic,53.459,3453434,1662.137359
1962,Ecuador,54.64,4681707,4086.114078
1962,El Salvador,52.307,2747687,3776.803627
1962,Guatemala,46.954,4208858,2750.364446
1962,Haiti,43.59,3880130,1796.589032
1962,Honduras,48.041,2090162,2291.156835
1962,Jamaica,65.61,1665128,5246.107524
1962,Mexico,58.299,41121485,4581.609385
1962,Nicaragua,48.632,1590597,3634.364406
1962,Panama,61.817,1215725,3536.540301
1962,Paraguay,64.361,2009813,2148.027146
1962,Peru,49.096,10516500,4957.037982
1962,Puerto Rico,69.62,2448046,5108.34463
1962,Trinidad and Tobago,64.9,887498,4997.523971
1962,United States,70.21,186538000,16173.14586
1962,Uruguay,68.253,2598466,5603.357717
1962,Venezuela,60.77,8143375,8422.974165
1967,Argentina,65.634,22934225,8052.953021
1967,Bolivia,45.032,4040665,2586.886053
1967,Brazil,57.632,88049823,3429.864357
1967,Canada,72.13,20819767,16076.58803
1967,Chile,60.523,8858908,5106.654313
1967,Colombia,59.963,19764027,2678.729839
1967,Costa Rica,65.424,1588717,4161.727834
1967,Cuba,68.29,8139332,5690.268015
1967,Dominican Republic,56.751,4049146,1653.723003
1967,Ecuador,56.678,5432424,4579.074215
1967,El Salvador,55.855,3232927,4358.595393
1967,Guatemala,50.016,4690773,3242.531147
