year,country,lifeExp,pop,gdpPercap
1952,Australia,69.12,8691212,10039.59564
1952,New Zealand,69.39,1994794,10556.57566
1957,Australia,70.33,9712569,10949.64959
1957,New Zealand,70.26,2229407,12247.39532
1962,Australia,70.93,10794968,12217.22686
1962,New Zealand,71.24,2488550,13175.678
1967,Australia,71.1,11872264,14526.12465
1967,New Zealand,71.52,2728150,14463.91893
1972,Australia,71.93,13177000,16788.62948
1972,New Zealand,71.89,2929100,16046.03728
1977,Australia,73.49,14074100,18334.19751
1977,New Zealand,72.22,3164900,16233.7177
1982,Australia,74.74,15184200,19477.00928
1982,New Zealand,73.84,3210650,17632.4104
1987,Australia,76.32,16257249,21888.88903
1987,New Zealand,74.32,3317166,19007.19129
1992,Australia,77.56,17481977,23424.76683
1992,New Zealand,76.33,3437674,18363.32494
1997,Australia,78.83,18565243,26997.93657
1997,New Zealand,77.55,3676187,21050.41377
2002,Australia,80.37,19546792,30687.75473
2002,New Zealand,79.11,3908037,23189.80135
2007,Australia,81.235,20434176,34435.36744
2007,New Zealand,80.204,4115771,25185.00911
