site,cover_herbs,cover_shrubs,cover_trees,height_trees,open_gaps_perc,trees_0.2,trees_2.5,trees_5,dead_trees,fallen_logs,GLAMA,species_richness_herbs,species_richness_shrubs,species_richness_trees
1,40,60,50,15,0,25,75,0,6,19,60,14,7,3
2,30,5,80,20,0,20,80,0,2,4,80,12,9,5
3,85,30,60,15,20,60,40,0,3,7,52,9,9,4
4,85,5,80,25,0,25,74,1,0,4,79,19,5,3
5,75,25,30,10,40,50,50,0,2,0,34,38,11,5
6,70,25,70,20,0,15,85,0,8,20,74,20,6,3
7,50,50,70,12,0,25,75,0,13,27,66,18,10,3
8,65,25,50,10,25,10,85,5,7,10,52,42,14,4
9,90,5,35,8,65,70,30,0,3,0,24,67,8,6
10,60,30,75,15,0,20,80,0,2,10,76,23,12,4
11,75,1,80,20,0,30,65,5,5,16,71,27,1,2
12,85,30,30,10,70,50,50,0,0,2,18,36,7,5
13,60,2,70,15,0,30,70,0,7,7,72,17,2,4
14,60,50,50,15,0,20,80,0,2,3,66,13,6,5
15,70,30,20,10,60,75,25,5,3,0,29,33,9,6
