taxon,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Abrostola asclepiadis,0,0,0,1,4,4,0,4,3,2,4,0,1,0,0
Abrostola tripartita,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Acasis viretata,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Acontia trabealis,0,1,0,0,1,0,0,3,5,0,0,2,0,0,2
Acronicta auricoma,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Acronicta megacephala,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Acronicta rumicis,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0
Aedia funesta,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Aethalura punctulata,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1
Agriopis aurantiaria,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0
Agriopis bajaria,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Agriopis marginaria,0,0,0,0,0,0,3,0,0,0,4,0,2,0,1
Agrochola helvola,6,5,4,2,4,2,3,4,2,0,2,1,3,3,1
Agrochola laevis,5,11,2,3,6,6,5,4,1,1,8,2,6,5,2
Agrochola macilenta,0,1,0,2,1,0,6,4,2,0,2,0,1,0,0
Agrotis cinerea,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0
Agrotis exclamationis,1,1,0,0,8,2,1,2,5,0,1,5,0,0,8
Agrotis ipsilon,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
Agrotis segetum,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
Alcis repandata,8,5,6,8,4,3,1,3,5,9,8,4,6,3,3
Allophyes oxyacanthae,3,0,3,0,11,1,3,7,11,1,0,16,2,0,7
Ammoconia caecimacula,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Amphipyra berbera,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Amphipyra livida,0,0,0,0,2,0,1,1,0,0,0,4,0,0,0
Amphipyra pyramidea,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Anarta trifolii,0,0,0,0,2,0,0,1,0,0,0,2,0,0,1
Angerona prunaria,13,15,16,8,4,11,1,6,6,12,14,9,17,9,6
Anorthoa munda,16,29,9,1,6,7,23,10,6,18,12,34,8,13,34
Apamea lithoxylaea,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Apamea monoglypha,0,1,0,0,0,1,0,0,2,0,0,0,0,0,2
Apamea scolopacina,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Aplocera plagiata,0,0,0,0,0,0,0,1,0,0,1,1,0,0,3
Apoda limacodes,4,6,5,3,7,13,10,20,10,3,4,7,2,6,5
Apocheima hispidaria,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Arctornis l-nigrum,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0
Artiora evonymaria,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Ascotis selenaria,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3
Asthena albulata,2,0,2,1,1,2,1,3,3,2,1,2,1,0,2
Atypha pulmonaris,1,0,2,0,1,1,0,1,3,0,0,0,0,0,1
Autographa gamma,1,5,2,2,2,4,1,6,5,1,3,2,3,1,6
Axylia putris,0,0,0,1,3,0,0,6,1,0,0,11,0,0,2
Biston betularia,0,1,0,1,0,1,0,1,3,0,1,0,0,0,0
Biston strataria,3,4,7,1,2,2,6,4,5,2,1,2,6,1,5
Brachionycha nubeculosa,4,17,8,3,2,2,28,1,3,18,6,1,2,18,2
Bryophila raptricula,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Cabera exanthemata,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabera pusaria,6,4,5,2,3,1,1,1,5,3,8,1,6,6,0
Calliteara pudibunda,5,4,4,1,6,9,5,0,3,5,9,4,2,6,5
Campaea margaritaria,7,9,9,9,4,14,9,14,11,26,14,3,10,15,7
Camptogramma bilineata,3,5,4,6,19,2,4,11,13,2,5,8,5,2,16
Catarhoe cuculata,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
Catarhoe rubidata,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Catocala fulminea,0,0,0,0,2,0,0,1,2,0,1,0,0,0,1
Cerastis leucographa,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cidaria fulvata,11,3,1,2,6,4,4,7,1,1,5,0,1,0,8
Cilix glaucata,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Cleora cinctaria,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Colocasia coryli,1,1,1,1,1,2,1,0,4,0,1,0,2,0,0
Colostygia olivata,0,2,1,0,3,0,1,0,0,5,1,3,2,0,0
Colostygia pectinataria,1,3,1,7,5,8,1,1,8,3,7,1,6,5,2
Colotois pennaria,23,17,32,18,17,22,21,23,31,16,31,20,28,14,26
Conistra erythrocephala,24,21,12,18,36,11,22,29,37,19,21,50,18,21,44
Conistra ligula,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
