RELEVE_NR,COUNTRY,REFERENCE,TABLE_NR,NR_IN_TAB,COVERSCALE,PROJECT,AUTHOR,DATE,SYNTAXON,SURF_AREA,UTM,ALTITUDE,EXPOSITION,INCLINATIO,COV_TOTAL,COV_TREES,COV_SHRUBS,COV_HERBS,COV_MOSSES,COV_LICHEN,COV_ALGAE,COV_LITTER,COV_WATER,COV_ROCK,TREE_HIGH,TREE_LOW,SHRUB_HIGH,SHRUB_LOW,HERB_HIGH,HERB_LOW,HERB_MAX,CRYPT_HIGH,MOSS_IDENT,LICH_IDENT,REMARKS,SYNOPTIC,NR_OF_REL,SYNTAXONEU,SBSREFCODE,LONGITUDE,LATITUDE,COORD_CODE,SYNTAX_OLD,LOCALITY,BIAS_MIN,BIAS_GPS,CEBA_GRID,FIELD_NR,HABITAT,GEOLOGY,SOIL,PH_H20,PH_KCL,SELECTION
1,CZ,,,,02,,0669,20070611,,100,,412,135,4,0,80,15,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,"snimkovali: David Zeleny, Irena Vesela, Milach Chytry a",,0,,0,164038.6,491312.1,01,,"Brno, Maloměřice, Hády; 1,7 km od středu městské části",0,7,,Jan-07,,,,6.1,5.28,1
2,CZ,,,,02,,0832,20070702,,100,,458,150,24,0,80,0,25,10,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,"snimkovali Irena Vesela + David Zeleny
Hieracium sabaud",,0,,0,163420,492015.3,01,,"Svinošice (Brno, Kuřim); 450 m SZ od středu obce",0,5,,Feb-07,,,,4.22,3.24,1
3,CZ,,,,02,,0832,20070702,,100,,414,150,13,0,80,0,25,8,0,0,0,0,3,0,0,0,0,0,0,0,0,N,N,snimkovali Irena Vesela + David Zeleny,,0,,0,163345.8,492128.9,01,,"Lažany (Brno, Kuřim); 1 km VSV od středu obce",0,6,,Mar-07,,,,4.75,4.01,1
4,CZ,,,,02,,0832,20070702,,100,,379,210,21,0,75,0,30,10,0,0,0,0,10,0,0,0,0,0,0,0,0,N,N,"snimkovali Irena Vesela + David Zeleny
Hieracium sabaud",,0,,0,162913.4,492126.4,01,,Všechovice (Tišnov); 500 m Z od středu obce,0,10,,Apr-07,,,,4.63,3.77,1
5,CZ,,,,02,,0832,20070703,,100,,374,,,0,70,0,35,8,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,snimkovali Irena Vesela + David Zeleny,,0,,0,162137.8,490210.2,01,,"Vedrovice (Moravský Krumlov), Krumlovský les; 2,2 km SZ od středu obce",0,6,,May-07,,,,4.36,3.5,1
6,CZ,,,,02,,0832,20070703,,100,,380,170,10,0,65,1,60,3,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,snimkovali Irena Vesela + David Zeleny,,0,,0,162128.3,490203.1,01,,"Vedrovice (Moravský Krumlov), Krumlovský les; 2,1 km SZ od středu obce",0,5,,Jun-07,,,,4.62,3.8,1
7,CZ,,,,02,,0832,20070703,,100,,373,65,6,0,65,0,70,5,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,"snimkovali Irena Vesela + David Zeleny
Viola reichenbac",,0,,0,162117.2,490158.5,01,,"Vedrovice (Moravský Krumlov), Krumlovský les; 2,2 km SZ od středu obce",0,6,,Jul-07,,,,4.28,3.48,1
8,CZ,,,,02,,0832,20070703,,100,,390,,,0,85,0,70,5,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,"snimkovali Irena Vesela + David Zeleny
Viola reichenbac",,0,,0,162348.7,490253.3,01,,"Vedrovice (Moravský Krumlov), Krumlovský les; 3,3 km SSV od středu obce",0,14,,Aug-07,,,,4.48,3.68,1
9,CZ,,,,02,,0832,20070711,,100,,255,80,38,0,80,20,15,10,0,0,0,0,15,0,0,0,0,0,0,0,0,N,N,snimkovali Irena Vesela + David Zeleny,,0,,0,161734.7,490729.5,01,,"Čučice (Oslavany), Přírodní park Oslava; 1,7 km JV od středu obce",0,6,,Sep-07,,,,5.16,4.24,1
10,CZ,,,,02,,0832,20070711,,100,,340,220,13,0,70,0,75,3,0,0,0,0,1,0,0,0,0,0,0,0,0,N,N,"snimkovali Irena Vesela + David Zeleny
",,0,,0,161622.4,490742.4,01,,"Čučice (Oslavany), Přírodní park Oslava; 1 km JJZ od středu obce",0,4,,Oct-07,,,,4.92,4.01,1
